
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
 ,Participants with no prior systemic first-line therapy received axitinib (AG-013736) tablet at a starting dose of 5 mg orally twice daily dose adjustment was done based on the tolerability as per investigator’s discretion. Study medication was administered in cycles of 4 weeks.,Participants with no prior systemic first-line therapy received sorafenib tablet at a starting dose of 400 mg orally twice daily dose adjustment was done based on the tolerability as per investigator’s discretion. Study medication was administered in cycles of 4 weeks.,Asian participants with prior systemic first-line therapy containing sunitinib or cytokine received axitinib (AG-013736) tablet at a starting dose of 5 mg orally twice daily dose adjustment was done based on the tolerability as per investigator’s discretion. Study medication was administered in cycles of 4 weeks.,Asian participants with prior systemic first-line therapy containing sunitinib or cytokine received sorafenib tablet at a starting dose of 400 mg orally twice daily dose adjustment was done based on the tolerability as per investigator’s discretion. Study medication was administered in cycles of 4 weeks.
Total serious adverse events,64/189 %33.86,24/96 %25.0,40/135 %29.63,14/69 %20.29
Anaemia,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Thrombocytopenia,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Cardiac failure,0/189 %0.0,0/96 %0.0,1/135 %0.74,1/69 %1.45
Myocardial infarction,1/189 %0.53,0/96 %0.0,2/135 %1.48,0/69 %0.0
Myocardial ischaemia,1/189 %0.53,0/96 %0.0,1/135 %0.74,0/69 %0.0
Acute myocardial infarction,0/189 %0.0,2/96 %2.08,0/135 %0.0,0/69 %0.0
Atrial flutter,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Cardiac arrest,3/189 %1.59,0/96 %0.0,0/135 %0.0,0/69 %0.0
Cardio-respiratory arrest,2/189 %1.06,0/96 %0.0,0/135 %0.0,0/69 %0.0
Abdominal pain,1/189 %0.53,3/96 %3.12,1/135 %0.74,0/69 %0.0
Anal fistula,1/189 %0.53,0/96 %0.0,0/135 %0.0,1/69 %1.45
Diarrhoea,5/189 %2.65,2/96 %2.08,2/135 %1.48,0/69 %0.0
Gastritis,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Intestinal obstruction,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Oesophagitis,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Upper gastrointestinal haemorrhage,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Abdominal distension,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Gastric haemorrhage,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Gastric ulcer,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Gastrointestinal haemorrhage,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Impaired gastric emptying,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Melaena,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Nausea,1/189 %0.53,1/96 %1.04,0/135 %0.0,0/69 %0.0
Oesophageal varices haemorrhage,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Peptic ulcer,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Periproctitis,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Rectal haemorrhage,2/189 %1.06,0/96 %0.0,0/135 %0.0,0/69 %0.0
Retroperitoneal haematoma,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Vomiting,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Death,1/189 %0.53,0/96 %0.0,2/135 %1.48,0/69 %0.0
Multi-organ failure,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Oedema peripheral,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Disease progression,20/189 %10.58,7/96 %7.29,12/135 %8.89,5/69 %7.25
Asthenia,2/189 %1.06,0/96 %0.0,0/135 %0.0,0/69 %0.0
Chest pain,2/189 %1.06,1/96 %1.04,0/135 %0.0,0/69 %0.0
General physical health deterioration,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Impaired healing,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Mucosal inflammation,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Pyrexia,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Sudden death,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Bile duct stone,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Cholangitis acute,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Cholecystitis acute,1/189 %0.53,0/96 %0.0,2/135 %1.48,0/69 %0.0
Hepatic failure,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Bile duct stenosis,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Bronchopulmonary aspergillosis,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Gastroenteritis,1/189 %0.53,0/96 %0.0,1/135 %0.74,0/69 %0.0
Upper respiratory tract infection,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Anal abscess,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Pyopneumothorax,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Lung infection,1/189 %0.53,0/96 %0.0,2/135 %1.48,0/69 %0.0
Abscess,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Cholecystitis infective,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Infection,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Osteomyelitis,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Pericoronitis,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Pneumonia,2/189 %1.06,1/96 %1.04,0/135 %0.0,0/69 %0.0
Pyelonephritis,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Sepsis,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Skin bacterial infection,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Tonsillitis,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Urinary tract infection,2/189 %1.06,0/96 %0.0,0/135 %0.0,0/69 %0.0
Wound infection,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Ankle fracture,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Facial bones fracture,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Humerus fracture,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Multiple injuries,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Patella fracture,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Upper limb fracture,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Wound dehiscence,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Haemoglobin decreased,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Decreased appetite,1/189 %0.53,0/96 %0.0,0/135 %0.0,1/69 %1.45
Dehydration,1/189 %0.53,1/96 %1.04,0/135 %0.0,0/69 %0.0
Hyperkalaemia,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Back pain,1/189 %0.53,0/96 %0.0,1/135 %0.74,0/69 %0.0
Muscular weakness,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Pathological fracture,1/189 %0.53,1/96 %1.04,0/135 %0.0,0/69 %0.0
Cardiac neoplasm unspecified,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Renal cancer,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Renal cancer metastatic,2/189 %1.06,0/96 %0.0,0/135 %0.0,0/69 %0.0
Renal cell carcinoma,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Tumour haemorrhage,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Brain stem haemorrhage,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Cerebral infarction,0/189 %0.0,0/96 %0.0,2/135 %1.48,1/69 %1.45
Cerebrovascular accident,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Hemiplegia,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Loss of consciousness,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Paralysis,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Transient ischaemic attack,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Cerebral haemorrhage,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Cerebral ischaemia,2/189 %1.06,0/96 %0.0,0/135 %0.0,0/69 %0.0
Demyelinating polyneuropathy,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Paraparesis,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Paraplegia,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Spinal cord compression,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Syncope,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Renal failure,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Renal failure acute,0/189 %0.0,0/96 %0.0,2/135 %1.48,0/69 %0.0
Ureteric obstruction,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Dysuria,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Haematuria,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Urinary retention,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Acute respiratory failure,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Chronic obstructive pulmonary disease,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Epistaxis,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Pleural effusion,3/189 %1.59,3/96 %3.12,1/135 %0.74,0/69 %0.0
Pneumothorax,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Atelectasis,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Dyspnoea,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Haemoptysis,1/189 %0.53,1/96 %1.04,0/135 %0.0,0/69 %0.0
Pleurisy,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Pulmonary oedema,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Respiratory distress,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Respiratory failure,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Rash,0/189 %0.0,0/96 %0.0,0/135 %0.0,1/69 %1.45
Erythema multiforme,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Palmar-plantar erythrodysaesthesia syndrome,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Hypotension,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Orthostatic hypotension,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Deep vein thrombosis,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Arterial haemorrhage,0/189 %0.0,0/96 %0.0,1/135 %0.74,0/69 %0.0
Aorto-duodenal fistula,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0
Circulatory collapse,0/189 %0.0,1/96 %1.04,0/135 %0.0,0/69 %0.0
Hypertensive crisis,1/189 %0.53,0/96 %0.0,0/135 %0.0,0/69 %0.0

Study to Determine the Safety  Maximum Tolerated Dose  Pharmacokinetics of Sorafenib (BAY43-9006)(https://clinicaltrials.gov/show/NCT00941863)
 ,Sorafenib 100 mg (50-mg Tablet),Sorafenib 200 mg (50-mg Tablet),Sorafenib 400 mg (50-mg Tablet),Sorafenib 400 mg (200-mg Tablet),Sorafenib 400 mg (Expansion)
 ,Dose-escalation cohort 1: Sorafenib (Nexavar BAY43-9006) 100 mg twice daily (50-mg tablet),Dose-escalation cohort 2: Sorafenib (Nexavar BAY43-9006) 200 mg twice daily (50-mg tablet),Dose-escalation cohort 3: Sorafenib (Nexavar BAY43-9006) 400 mg twice daily (50-mg tablet),Dose-escalation cohort 4: Sorafenib (Nexavar BAY43-9006) 400 mg twice daily (200-mg tablet),Dose-expansion cohort: Sorafenib (Nexavar BAY43-9006) 400 mg twice daily (200-mg tablet) expansion
Total serious adverse events,5/7 %71.43,1/3 %33.33,8/12 %66.67,9/17 %52.94,76/119 %63.87
Neutrophils/granulocytes (ANC/AGC),0/7 %0.0,0/3 %0.0,2/12 %16.67,0/17 %0.0,4/119 %3.36
Platelets,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,6/119 %5.04
Hemoglobin (HGB),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,3/119 %2.52
Leukocytes (total WBC),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Coagulation - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Supraventricular arrhythmias (SVT/A FIB/FLUTT),0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,4/119 %3.36
Cardiovascular/arrhythmias - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Thrombosis/embolism,0/7 %0.0,0/3 %0.0,1/12 %8.33,3/17 %17.65,8/119 %6.72
Cardiac - ischemia/infarction,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,3/119 %2.52
Hypotension,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,2/119 %1.68
Pericardial effusion/pericarditis,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,3/119 %2.52
Phlebitis (superficial),0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,1/119 %0.84
Edema,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Cardiovascular/general - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,0/119 %0.0
Vomiting,0/7 %0.0,0/3 %0.0,1/12 %8.33,2/17 %11.76,8/119 %6.72
Dehydration,0/7 %0.0,0/3 %0.0,1/12 %8.33,0/17 %0.0,8/119 %6.72
Nausea,0/7 %0.0,0/3 %0.0,1/12 %8.33,1/17 %5.88,6/119 %5.04
Diarrhea patients without colostomy,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,2/119 %1.68
Gastrointestinal - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,3/119 %2.52
Anorexia,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,2/119 %1.68
Colitis,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Constipation,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,0/119 %0.0
Dysphagia esophagitis odynophagia (painfull swallowing),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Ileus (or neuroconstipation),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Pancreatitis,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Duodenal ulcer (radiographic or endoscopic),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Fever (in absence of neutropenia),0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,7/119 %5.88
Fatigue (Lethargy Malaise Asthenia),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,5/119 %4.2
Constitutional symptoms - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,3/119 %2.52
Pain - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,10/119 %8.4
Abdominal pain or cramping,1/7 %14.29,0/3 %0.0,1/12 %8.33,1/17 %5.88,4/119 %3.36
Chest pain (non-cardiac and nonpleuritic),1/7 %14.29,0/3 %0.0,0/12 %0.0,0/17 %0.0,3/119 %2.52
Headache,1/7 %14.29,0/3 %0.0,1/12 %8.33,0/17 %0.0,2/119 %1.68
Tumor pain (onset/exacerb. tumor pain),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
SGPT (ALT),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
SGOT (AST),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Allergic reaction/hypersensitivity,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,0/119 %0.0
Febrile neutropenia (fever w/ unknow origin),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,12/119 %10.08
Infection without neutropenia,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,5/119 %4.2
Infection (doc clinic or microbio) w/ GR 3 or 4 Neu,0/7 %0.0,0/3 %0.0,1/12 %8.33,0/17 %0.0,3/119 %2.52
Infection with unknown ANC,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,2/119 %1.68
Infection/febrile neutropenia - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,2/119 %1.68
Hyperglycemia,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,2/119 %1.68
Hypokalemia,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,2/119 %1.68
Hypomagnesemia,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,2/119 %1.68
Amylase,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Hypercalcemia,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Hypoglycemia,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Lipase,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Musculoskeletal - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,3/119 %2.52
Neurology - other,0/7 %0.0,0/3 %0.0,1/12 %8.33,1/17 %5.88,9/119 %7.56
Syncope (fainting),0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,3/119 %2.52
CNS cerebrovascular ischemia,0/7 %0.0,1/3 %33.33,1/12 %8.33,0/17 %0.0,1/119 %0.84
Confusion,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,1/119 %0.84
Seizure(s),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,2/119 %1.68
Depressed level of consciousness,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,2/119 %1.68
Ataxia (incoordination),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Speech impairment (dysphasia or aphasia),1/7 %14.29,0/3 %0.0,0/12 %0.0,0/17 %0.0,0/119 %0.0
Neuropathy - motor,1/7 %14.29,0/3 %0.0,0/12 %0.0,0/17 %0.0,0/119 %0.0
Neuropathy - sensory,0/7 %0.0,0/3 %0.0,1/12 %8.33,0/17 %0.0,0/119 %0.0
Renal/genitourinary - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,4/119 %3.36
Creatinine,0/7 %0.0,0/3 %0.0,1/12 %8.33,1/17 %5.88,0/119 %0.0
Ureteral obstruction,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Pleural effusion (non-malignant),0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,7/119 %5.88
Dyspnea (shortness of breath),0/7 %0.0,0/3 %0.0,2/12 %16.67,0/17 %0.0,3/119 %2.52
Pulmonary - other,1/7 %14.29,0/3 %0.0,0/12 %0.0,0/17 %0.0,2/119 %1.68
Pneumonitis/pulmonary infiltrates,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Dermatology/skin - other,1/7 %14.29,0/3 %0.0,1/12 %8.33,0/17 %0.0,10/119 %8.4
Wound - infectious,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Wound - non-infectious,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Rash/desquamation,1/7 %14.29,0/3 %0.0,0/12 %0.0,0/17 %0.0,0/119 %0.0
CNS Hemorrhage/belleding,0/7 %0.0,0/3 %0.0,2/12 %16.67,0/17 %0.0,1/119 %0.84
Hemorrhage - other,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,3/119 %2.52
Melena/GI bleeding,0/7 %0.0,0/3 %0.0,0/12 %0.0,1/17 %5.88,1/119 %0.84
Hemoptysis,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Rectal bleeding/hematochezia,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Hemorrhage/bleeding with grade 3 or 4 thrombo,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Hematuria (in absence of vaginal bleeding),0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84
Vaginal bleeding,0/7 %0.0,0/3 %0.0,0/12 %0.0,0/17 %0.0,1/119 %0.84

Depocyt® With Sorafenib in Neoplastic Meningitis(https://clinicaltrials.gov/show/NCT00964743)
 ,Intrathecal DepoCyt and Oral Sorafenib
 ,This is a single arm pilot study. Investigators planned to enroll approximately 10 patients to receive concurrent intrathecal DepoCyt and oral Sorafenib. DepoCyt: through a reservoir every 2 weeks for 5 doses then every 4 weeks for an additional 5 doses (a total of 10 DepoCyt treatments). Oral Sorafenib: at 400 mg twice a day throughout the treatment course until disease progression or death.
Total serious adverse events,2/2 %100.0
Death not associated with CTCAE term - Death not otherwise specified (NOS),1/2 %50.0
Death not associated with CTCAE term - Disease progression not otherwise specified (NOS),1/2 %50.0

A Phase I / II Trial of Nintedanib in Asian Hepatocellular Carcinoma Patients(https://clinicaltrials.gov/show/NCT00987935)
 ,Phase I Group I Nintedanib 100 mg Bid,Phase I Group I Nintedanib 150 mg Bid,Phase I Group I Nintedanib 200 mg Bid,Phase I Group II Nintedanib 50 mg Bid,Phase I Group II Nintedanib 100 mg Bid,Phase I Group II Nintedanib 150 mg Bid,Phase I Group II Nintedanib 200 mg Bid,Phase II Nintedanib 200 mg Bid,Phase II Sorafenib 400 mg Bid
 ,Oral administration of Nintedanib (BIBF 1120) 100 mg soft gelatine capsules twice daily (bid) for the Group I patients during Phase I,Oral administration of Nintedanib (BIBF 1120) 150 mg soft gelatine capsules twice daily (bid) for the Group I patients during Phase I,Oral administration of Nintedanib (BIBF 1120) 200 mg soft gelatine capsules twice daily (bid) for the Group I patients during Phase I,Oral administration of Nintedanib (BIBF 1120) 50 mg soft gelatine capsules twice daily (bid) for the Group II patients during Phase I,Oral administration of Nintedanib (BIBF 1120) 100 mg soft gelatine capsules twice daily (bid) for the Group II patients during Phase I,Oral administration of Nintedanib (BIBF 1120) 150 mg soft gelatine capsules twice daily (bid) for the Group II patients during Phase I,Oral administration of Nintedanib (BIBF 1120) 200 mg soft gelatine capsules twice daily (bid) for the Group II patients during Phase I,Oral administration of Nintedanib (BIBF 1120) 200 mg soft gelatine capsules twice daily (bid) during Phase II,Oral administration of Sorafenib 400 mg film coated tablets twice daily (bid) during Phase II
Total serious adverse events,2/4 %50.0,1/3 %33.33,0/3 %0.0,3/3 %100.0,4/7 %57.14,1/3 %33.33,10/16 %62.5,29/63 %46.03,18/32 %56.25
Haemorrhagic anaemia,0/4 %0.0,0/3 %0.0,0/3 %0.0,1/3 %33.33,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,0/32 %0.0
Thrombocytopenia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Acute coronary syndrome,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Acute myocardial infarction,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Abdominal distension,0/4 %0.0,1/3 %33.33,0/3 %0.0,0/3 %0.0,1/7 %14.29,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Abdominal pain,0/4 %0.0,0/3 %0.0,0/3 %0.0,1/3 %33.33,0/7 %0.0,0/3 %0.0,1/16 %6.25,1/63 %1.59,1/32 %3.12
Anal fistula,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Ascites,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,2/63 %3.17,0/32 %0.0
Diarrhoea,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,2/63 %3.17,0/32 %0.0
Food poisoning,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Gastric haemorrhage,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
