
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)

A Safety and Efficacy Study of Eltrombopag in Subjects With AML(https://clinicaltrials.gov/show/NCT01890746)
 ,Eltrombopag (ELQ) QD,Placebo QD
 ,Par. received IDN CTY consisting of DAU bolus IV INF on D 1-3 at a dose of 90 mg/m^2 for Par. 18-60 years old or 60 mg/m^2 for Par.>60 years old plus cytarabine 100 mg/m^2 continuous IV INF on D1-7. Par. received ELT as 200 mg (100 mg for East-Asian Heritage) QD oral dose starting on D4 of initial IDN CTY at least 20 hours after end of D3 DAU INF. If PT count was not >100 Gi/L after 7 days the dose was increased to 300 mg (150 mg East-Asian Heritage) QD until a PT count of at least 200 Gi/L was achieved until remission was assessed by bone marrow biopsy or for a maximum of 42 days from the start of the CTY IDN cycle. Par. who were not aplastic after first cycle of IDN CTY received re-IDN with a modified DAU dose of 45mg/m^2/day on D1-3 plus cytarabine 100 mg/m^2/day on D1-7. For re-IDN Par. ELT was held from D1-3 of re-IDN and resumed on D4 at the same dose and duration.,Participants received first line IDN CTY consisting of DAU bolus IV INF on Days 1-3 at a dose of 90 mg/m^2 for participants 18-60 years old or 60 mg/m^2 for participants >60 years of age plus cytarabine continuous IV INF on Days 1-7 at a dose of 100 mg/m^2. Participants received placebo QD oral dose starting on Day 4 of initial IDN CTY at least 20 hours after end of Day 3 DAU INF up to a maximum duration of 42 days.
Total all-cause mortality,11/74 %14.86,4/71 %5.63
Total serious adverse events,24/74 %32.43,14/71 %19.72
Febrile neutropenia,1/74 %1.35,0/71 %0.0
Atrial fibrillation,2/74 %2.7,0/71 %0.0
Cardiac failure,1/74 %1.35,1/71 %1.41
Cardiac failure congestive,0/74 %0.0,1/71 %1.41
Cardiomyopathy,0/74 %0.0,1/71 %1.41
Left ventricular dysfunction,1/74 %1.35,0/71 %0.0
Myocardial infarction,1/74 %1.35,0/71 %0.0
Hydrocele,1/74 %1.35,0/71 %0.0
Abdominal pain,1/74 %1.35,0/71 %0.0
Constipation,0/74 %0.0,1/71 %1.41
Neutropenic colitis,0/74 %0.0,1/71 %1.41
Generalised oedema,0/74 %0.0,1/71 %1.41
Pyrexia,1/74 %1.35,1/71 %1.41
Sudden death,0/74 %0.0,1/71 %1.41
Acinetobacter bacteraemia,0/74 %0.0,1/71 %1.41
Appendicitis,1/74 %1.35,0/71 %0.0
Bronchitis,1/74 %1.35,0/71 %0.0
Catheter site infection,0/74 %0.0,1/71 %1.41
Klebsiella sepsis,1/74 %1.35,0/71 %0.0
Neutropenic sepsis,0/74 %0.0,1/71 %1.41
Perirectal abscess,0/74 %0.0,1/71 %1.41
Pneumonia,0/74 %0.0,1/71 %1.41
Sepsis,1/74 %1.35,2/71 %2.82
Septic shock,2/74 %2.7,2/71 %2.82
Systemic candida,1/74 %1.35,0/71 %0.0
Alanine aminotransferase increased,0/74 %0.0,1/71 %1.41
Blood bilirubin increased,1/74 %1.35,0/71 %0.0
Ejection fraction decreased,0/74 %0.0,2/71 %2.82
Hypernatraemia,0/74 %0.0,1/71 %1.41
Pseudohyperkalaemia,1/74 %1.35,0/71 %0.0
Cerebral haemorrhage,1/74 %1.35,0/71 %0.0
Cerebrovascular accident,1/74 %1.35,0/71 %0.0
Cognitive disorder,1/74 %1.35,0/71 %0.0
Haemorrhage intracranial,2/74 %2.7,0/71 %0.0
Acute kidney injury,3/74 %4.05,1/71 %1.41
Renal failure,1/74 %1.35,0/71 %0.0
Pulmonary alveolar haemorrhage,1/74 %1.35,0/71 %0.0
Pulmonary embolism,1/74 %1.35,0/71 %0.0
Pulmonary haemorrhage,1/74 %1.35,0/71 %0.0
Respiratory failure,1/74 %1.35,0/71 %0.0

Study of Melphalan HCl for Injection (Propylene Glycol-free)  Carmustine  Etoposide  Cytarabine (BEAM Regimen) and Autologous Stem Cell Transplantation for Lymphoma(https://clinicaltrials.gov/show/NCT01969435)
 ,Melphalan Carmustine Etoposide Cytarabine (BEAM)
 ,Day -7 carmustine intravenous (IV) infusion  Days -6 -5 -4 and -3 etoposide and cytarabine (IV) infusions twice a day  Day -2 melphalan HCl (propylene glycol-free)(IV) infusion  Day 0 stem cell transplant.
Total serious adverse events,1/50 %2.0
Multi-organ failure due to sepsis,1/50 %2.0

Blinatumomab Versus Standard of Care Chemotherapy in Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia (ALL)(https://clinicaltrials.gov/show/NCT02013167)
 ,Standard of Care Chemotherapy,Blinatumomab
 ,Participants received one of four prespecified investigator-chosen chemotherapy regimens for 2 induction cycles. Participants who achieved a bone marrow response CR/CRh*/CRi within 2 induction cycles of treatment could receive up to 3 additional consolidation cycles of SOC chemotherapy.  Participants who received 2 induction and up to 3 consolidation cycles of therapy and continued to have a bone marrow response or CR/CRh*/CRi could continue to receive SOC therapy for an additional 12 months.,Participants received blinatumomab by continuous intravenous infusion (CIVI) over 4 weeks followed by a 2 week treatment-free interval for 2 induction cycles. Participants who achieved a bone marrow response complete remission or complete remission with partial or incomplete hematologic recovery (CR/CRh*/CRi) within 2 induction cycles of treatment could receive up to 3 additional consolidation cycles of blinatumomab.  Participants who received 2 induction and up to 3 consolidation cycles of therapy and continued to have a bone marrow response or CR/CRh*/CRi could continue to receive blinatumomab for an additional 12 months (4 cycles) where 1 cycle consisted of 4 weeks of CIVI followed by an 8-week treatment-free period.  The initial dose of blinatumomab was 9 μg/day for the first 7 days of treatment increased to 28 μg/day starting on day 8 through day 29 and for all subsequent cycles.
Total serious adverse events,49/109 %44.95,165/267 %61.8
Agranulocytosis,1/109 %0.92,0/267 %0.0
Anaemia,0/109 %0.0,1/267 %0.37
Febrile bone marrow aplasia,0/109 %0.0,1/267 %0.37
Febrile neutropenia,12/109 %11.01,23/267 %8.61
Histiocytosis haematophagic,0/109 %0.0,3/267 %1.12
Leukocytosis,0/109 %0.0,3/267 %1.12
Leukopenia,1/109 %0.92,0/267 %0.0
Lymphadenopathy,0/109 %0.0,1/267 %0.37
Neutropenia,2/109 %1.83,2/267 %0.75
Pancytopenia,1/109 %0.92,3/267 %1.12
Thrombocytopenia,1/109 %0.92,0/267 %0.0
Acute myocardial infarction,0/109 %0.0,1/267 %0.37
Atrial fibrillation,0/109 %0.0,1/267 %0.37
Atrial flutter,0/109 %0.0,1/267 %0.37
Cardiac arrest,1/109 %0.92,1/267 %0.37
Cardiac failure congestive,0/109 %0.0,1/267 %0.37
Cardiac tamponade,1/109 %0.92,0/267 %0.0
Cardiopulmonary failure,0/109 %0.0,1/267 %0.37
Pericardial effusion,0/109 %0.0,1/267 %0.37
Supraventricular tachycardia,1/109 %0.92,0/267 %0.0
Aplasia,0/109 %0.0,1/267 %0.37
Abdominal pain,0/109 %0.0,2/267 %0.75
Gastric haemorrhage,0/109 %0.0,1/267 %0.37
Gastrointestinal inflammation,1/109 %0.92,0/267 %0.0
Gastrointestinal necrosis,0/109 %0.0,1/267 %0.37
Haematemesis,0/109 %0.0,1/267 %0.37
Mouth haemorrhage,1/109 %0.92,0/267 %0.0
Nausea,0/109 %0.0,1/267 %0.37
Pancreatitis,1/109 %0.92,0/267 %0.0
Stomatitis,0/109 %0.0,1/267 %0.37
Vomiting,0/109 %0.0,2/267 %0.75
Asthenia,0/109 %0.0,2/267 %0.75
Chest pain,0/109 %0.0,1/267 %0.37
Death,0/109 %0.0,1/267 %0.37
Discomfort,0/109 %0.0,1/267 %0.37
General physical health deterioration,0/109 %0.0,2/267 %0.75
Hyperthermia,0/109 %0.0,1/267 %0.37
Medical device complication,0/109 %0.0,1/267 %0.37
Multi-organ failure,1/109 %0.92,4/267 %1.5
Oedema peripheral,0/109 %0.0,1/267 %0.37
Pyrexia,1/109 %0.92,16/267 %5.99
Systemic inflammatory response syndrome,0/109 %0.0,1/267 %0.37
Acute hepatic failure,1/109 %0.92,0/267 %0.0
Cholelithiasis,0/109 %0.0,1/267 %0.37
Cholestasis,1/109 %0.92,0/267 %0.0
Hepatitis,0/109 %0.0,1/267 %0.37
Acute graft versus host disease in skin,0/109 %0.0,1/267 %0.37
Anaphylactic shock,0/109 %0.0,1/267 %0.37
Cytokine release syndrome,0/109 %0.0,7/267 %2.62
Graft versus host disease,0/109 %0.0,1/267 %0.37
Graft versus host disease in liver,0/109 %0.0,1/267 %0.37
Abscess fungal,1/109 %0.92,0/267 %0.0
Bacteraemia,3/109 %2.75,2/267 %0.75
Bacterial infection,0/109 %0.0,2/267 %0.75
Bacterial sepsis,2/109 %1.83,6/267 %2.25
Brain abscess,1/109 %0.92,0/267 %0.0
Bronchitis,0/109 %0.0,1/267 %0.37
Bronchopulmonary aspergillosis,1/109 %0.92,4/267 %1.5
Catheter site infection,0/109 %0.0,2/267 %0.75
Cellulitis,0/109 %0.0,1/267 %0.37
Central nervous system abscess,1/109 %0.92,0/267 %0.0
Citrobacter infection,0/109 %0.0,1/267 %0.37
Citrobacter sepsis,1/109 %0.92,0/267 %0.0
Device related infection,1/109 %0.92,6/267 %2.25
Device related sepsis,2/109 %1.83,1/267 %0.37
Encephalitis enteroviral,0/109 %0.0,1/267 %0.37
Enterococcal bacteraemia,1/109 %0.92,0/267 %0.0
Enterococcal infection,1/109 %0.92,0/267 %0.0
Escherichia infection,0/109 %0.0,2/267 %0.75
Fungaemia,0/109 %0.0,1/267 %0.37
Fungal infection,1/109 %0.92,0/267 %0.0
Fungal sepsis,0/109 %0.0,2/267 %0.75
Fusarium infection,1/109 %0.92,0/267 %0.0
Gastroenteritis,0/109 %0.0,2/267 %0.75
Hepatosplenic candidiasis,1/109 %0.92,0/267 %0.0
Infection,0/109 %0.0,1/267 %0.37
Infection in an immunocompromised host,0/109 %0.0,1/267 %0.37
Influenza,0/109 %0.0,1/267 %0.37
Lower respiratory tract infection,0/109 %0.0,1/267 %0.37
Lower respiratory tract infection fungal,0/109 %0.0,1/267 %0.37
Lung infection,1/109 %0.92,1/267 %0.37
Mastoiditis,0/109 %0.0,1/267 %0.37
Meningitis bacterial,0/109 %0.0,1/267 %0.37
Mucormycosis,0/109 %0.0,1/267 %0.37
Muscle abscess,0/109 %0.0,1/267 %0.37
Neutropenic sepsis,1/109 %0.92,3/267 %1.12
Osteomyelitis,0/109 %0.0,1/267 %0.37
Otitis media acute,0/109 %0.0,1/267 %0.37
Pneumonia,2/109 %1.83,10/267 %3.75
Pneumonia bacterial,0/109 %0.0,1/267 %0.37
Pneumonia fungal,2/109 %1.83,1/267 %0.37
Pneumonia pseudomonal,0/109 %0.0,1/267 %0.37
Pneumonia respiratory syncytial viral,0/109 %0.0,1/267 %0.37
Progressive multifocal leukoencephalopathy,0/109 %0.0,1/267 %0.37
Pseudomonal sepsis,1/109 %0.92,3/267 %1.12
Pseudomonas infection,1/109 %0.92,3/267 %1.12
Pulmonary mycosis,0/109 %0.0,1/267 %0.37
Respiratory syncytial virus bronchiolitis,0/109 %0.0,1/267 %0.37
Rhinovirus infection,1/109 %0.92,0/267 %0.0
Sepsis,7/109 %6.42,13/267 %4.87
Sepsis syndrome,0/109 %0.0,1/267 %0.37
Septic shock,3/109 %2.75,8/267 %3.0
Sinusitis,0/109 %0.0,1/267 %0.37
Skin infection,0/109 %0.0,1/267 %0.37
Soft tissue infection,1/109 %0.92,0/267 %0.0
Staphylococcal infection,1/109 %0.92,2/267 %0.75
Staphylococcal sepsis,0/109 %0.0,1/267 %0.37
Streptococcal sepsis,1/109 %0.92,0/267 %0.0
Systemic candida,1/109 %0.92,0/267 %0.0
Tooth infection,0/109 %0.0,1/267 %0.37
Accidental overdose,0/109 %0.0,3/267 %1.12
Ankle fracture,1/109 %0.92,0/267 %0.0
Fall,0/109 %0.0,1/267 %0.37
Medication error,0/109 %0.0,1/267 %0.37
Overdose,0/109 %0.0,8/267 %3.0
Subdural haematoma,0/109 %0.0,1/267 %0.37
Subdural haemorrhage,0/109 %0.0,1/267 %0.37
Blood bilirubin increased,0/109 %0.0,2/267 %0.75
Blood lactate dehydrogenase increased,0/109 %0.0,1/267 %0.37
CSF cell count abnormal,0/109 %0.0,1/267 %0.37
Platelet count decreased,0/109 %0.0,1/267 %0.37
Transaminases increased,0/109 %0.0,1/267 %0.37
Weight increased,0/109 %0.0,1/267 %0.37
White blood cell count decreased,0/109 %0.0,1/267 %0.37
White blood cell count increased,0/109 %0.0,1/267 %0.37
Hypercalcaemia,0/109 %0.0,1/267 %0.37
Hyperkalaemia,1/109 %0.92,0/267 %0.0
Hyperuricaemia,0/109 %0.0,2/267 %0.75
Hypoglycaemia,1/109 %0.92,0/267 %0.0
Hypokalaemia,0/109 %0.0,1/267 %0.37
Hypomagnesaemia,0/109 %0.0,1/267 %0.37
Hypophosphataemia,0/109 %0.0,2/267 %0.75
Lactic acidosis,1/109 %0.92,1/267 %0.37
Metabolic acidosis,1/109 %0.92,0/267 %0.0
Tumour lysis syndrome,0/109 %0.0,3/267 %1.12
Back pain,0/109 %0.0,2/267 %0.75
Bone pain,0/109 %0.0,3/267 %1.12
Osteitis,1/109 %0.92,0/267 %0.0
Acute lymphocytic leukaemia,0/109 %0.0,1/267 %0.37
Leukaemic infiltration extramedullary,0/109 %0.0,1/267 %0.37
Leukaemic infiltration pulmonary,0/109 %0.0,1/267 %0.37
Tumour associated fever,0/109 %0.0,1/267 %0.37
Aphasia,0/109 %0.0,3/267 %1.12
Cerebral haemorrhage,0/109 %0.0,1/267 %0.37
Cognitive disorder,0/109 %0.0,1/267 %0.37
Depressed level of consciousness,0/109 %0.0,1/267 %0.37
Encephalopathy,0/109 %0.0,4/267 %1.5
Generalised tonic-clonic seizure,1/109 %0.92,0/267 %0.0
Haemorrhage intracranial,2/109 %1.83,1/267 %0.37
Haemorrhagic stroke,0/109 %0.0,1/267 %0.37
Hemianopia,0/109 %0.0,1/267 %0.37
Hemiparesis,0/109 %0.0,1/267 %0.37
Hemiplegia,1/109 %0.92,0/267 %0.0
Hypoaesthesia,0/109 %0.0,1/267 %0.37
Intention tremor,0/109 %0.0,1/267 %0.37
Leukoencephalopathy,0/109 %0.0,1/267 %0.37
Neurological symptom,0/109 %0.0,1/267 %0.37
Paraesthesia,0/109 %0.0,1/267 %0.37
Seizure,1/109 %0.92,1/267 %0.37
Somnolence,0/109 %0.0,1/267 %0.37
Status epilepticus,0/109 %0.0,1/267 %0.37
Tremor,0/109 %0.0,1/267 %0.37
Completed suicide,0/109 %0.0,1/267 %0.37
Mental status changes,0/109 %0.0,1/267 %0.37
Acute kidney injury,2/109 %1.83,3/267 %1.12
Calculus ureteric,0/109 %0.0,1/267 %0.37
Urinary bladder haemorrhage,1/109 %0.92,0/267 %0.0
Acute respiratory failure,0/109 %0.0,2/267 %0.75
Dyspnoea,0/109 %0.0,2/267 %0.75
Epistaxis,0/109 %0.0,2/267 %0.75
Haemoptysis,0/109 %0.0,2/267 %0.75
Hypoxia,0/109 %0.0,1/267 %0.37
Lung infiltration,1/109 %0.92,1/267 %0.37
Pleural effusion,1/109 %0.92,1/267 %0.37
Pneumonitis,0/109 %0.0,1/267 %0.37
Pneumothorax,1/109 %0.92,0/267 %0.0
Pulmonary oedema,0/109 %0.0,1/267 %0.37
Respiratory arrest,0/109 %0.0,1/267 %0.37
Respiratory failure,2/109 %1.83,1/267 %0.37
Stridor,0/109 %0.0,1/267 %0.37
Alopecia,0/109 %0.0,1/267 %0.37
Skin ulcer,0/109 %0.0,1/267 %0.37
Catheter placement,0/109 %0.0,1/267 %0.37
Aortic occlusion,0/109 %0.0,1/267 %0.37
Hypotension,2/109 %1.83,0/267 %0.0
Peripheral artery thrombosis,1/109 %0.92,0/267 %0.0
Shock,1/109 %0.92,0/267 %0.0

CPX-351 in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome(https://clinicaltrials.gov/show/NCT02019069)
 ,Liposomal Cytarabine-daunorubicin CPX-351
 ,1st INDUCTION: Patients receive liposomal cytarabine-daunorubicin CPX-351 IV at a dose of 65 units/m2/day over 90 minutes on days 1 3 and 5.  2nd INDUCTION: Patients receive liposomal cytarabine-daunorubicin CPX-351 IV a dose of 65 units/m2/day over 90 minutes on days 1 and 3.  CONSOLIDATION: Beginning on day 28 patients receive liposomal cytarabine-daunorubicin CPX-351 IV a dose of 65 units/m2/day over 90 minutes on days 1 and 3.  liposomal cytarabine-daunorubicin CPX-351: Given IV
Total all-cause mortality,10/11 %90.91
Total serious adverse events,5/11 %45.45
Febrile neutropenia,4/11 %36.36
Anemia,1/11 %9.09
Cardio-pulmonary arrest,1/11 %9.09
Chills,1/11 %9.09
Neoplasms - Other Acute myelogenous leukemia,1/11 %9.09
Pneumonia,2/11 %18.18
Adult repiratory distress syndrome (ARDS),1/11 %9.09
Respiratory failure,1/11 %9.09

Omacetaxine Mepesuccinate  Cytarabine  and Decitabine in Treating Older Patients With Newly Diagnosed Acute Myeloid Leukemia(https://clinicaltrials.gov/show/NCT02029417)
 ,Treatment (Cytarabine Omacetaxine Mepesuccinate Decitabine)
 ,INDUCTION CHEMOTHERAPY: Patients receive cytarabine SC BID and omacetaxine mepesuccinate SC BID on days 1-14. Treatment for induction therapy repeats every 28 days for up to 4 courses or until patients achieve CR in the absence of disease progression or unacceptable toxicity.  CONSOLIDATION THERAPY: Patients alternate courses between decitabine and OAG. Patients receive decitabine IV on days 1-5. Patients alternate with OAG courses comprising cytarabine SC BID on days 1-7 and omacetaxine mepesuccinate SC BID on days 1-7. Treatment repeats every 28 days for up to 24 months in the absence of disease progression or unacceptable toxicity.  cytarabine: Given SC  omacetaxine mepesuccinate: Given SC  decitabine: Given IV  laboratory biomarker analysis: Correlative studies
Total serious adverse events,2/2 %100.0
Sepsis,2/2 %100.0

Filgrastim  Cladribine  Cytarabine  and Mitoxantrone Hydrochloride in Treating Patients With Newly Diagnosed or Relapsed/Refractory Acute Myeloid Leukemia or High-Risk Myelodysplastic Syndromes(https://clinicaltrials.gov/show/NCT02044796)
 ,Newly Diagnosed Group Mitoxantrone Hydrochloride 12 mg/m^2,Newly Diagnosed Group Mitoxantrone Hydrochloride 14 mg/m^2,Newly Diagnosed Group Mitoxantrone Hydrochloride 16 mg/m^2,Newly Diagnosed Group Mitoxantrone Hydrochloride 18 mg/m^2,Relapsed/Refractory Group Mitoxantrone Hydrochloride 12 mg/m^2,Relapsed/Refractory Group Mitoxantrone Hydrochloride 14 mg/m^2,Relapsed/Refractory Group Mitoxantrone Hydrochloride 16 mg/m^2,Relapsed/Refractory Group Mitoxantrone Hydrochloride 18 mg/m^2,Phase 2 Newly Diagnosed Group 18 mg/m^2,Phase 2 Relapsed/Refractory Group 16 mg/m^2
